Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-my-ig.json	34044	-	0	0	0	0	0	0	6	350	0	0	0	0	0	0	0	3	0	0	189	129	0	0	0	9	0	1
fsh-generated/resources/AllergyIntolerance-example-allergyIntolerance.json	1748	4	0	0	0	0	0	0	0	465	0	0	0	0	0	0	0	0	0	0	18	26	0	0	0	0	0	0
fsh-generated/resources/CarePlan-exemplo-carePlan-plano-de-tratamento-fecho-caso.json	1004	2	0	0	0	0	0	0	1	301	0	0	0	0	0	0	0	0	0	0	12	26	0	0	0	0	0	0
fsh-generated/resources/CarePlan-exemplo-carePlan-plano-de-tratamento-seguimento-com-medicacao.json	1718	2	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	23	18	0	0	0	0	0	0
fsh-generated/resources/CarePlan-exemplo-carePlan-plano-de-tratamento-seguimento.json	1451	3	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-symptom-properties.json	685	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	1470	0	0	0	1	0	0
fsh-generated/resources/Condition-exemplo-condition-asthma.json	853	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
fsh-generated/resources/Condition-exemplo-condition-chronic-disease-diabetes.json	907	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/Condition-exemplo-condition-chronic-disease.json	744	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/Condition-exemplo-condition-chronic-dyslipidemia.json	879	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/Condition-exemplo-condition-chronic-hypertension.json	878	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/Condition-exemplo-condition-chronic-obstructive-pulmonary-disease.json	945	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Condition-exemplo-condition-disturbio-visual.json	1410	3	0	0	0	0	0	0	1	224	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0
fsh-generated/resources/Condition-exemplo-condition-dor-ocular.json	1075	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	8	0	0	1	0	0	0
fsh-generated/resources/Condition-exemplo-condition-gravidez-risco.json	802	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/Encounter-exemplo-encounter-fecho-caso.json	1024	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0
fsh-generated/resources/Encounter-exemplo-encounter-ia-registo.json	1099	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Encounter-exemplo-encounter-seguimento.json	1031	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/Encounter-exemplo-encounter-validacao-caso.json	1038	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/EpisodeOfCare-exemplo-episodeofcare-episodio-activo.json	719	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
fsh-generated/resources/EpisodeOfCare-exemplo-episodeofcare-episodio-em-espera.json	641	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0
